match_id,match,teamInnings,battingPos,batsmanName,out/not_out,runs,balls,4s,6s,SR
T205274,Super Kings Vs Titans,Super Kings,1,DevonConway,out,1,6,0,0,16.66
T205274,Super Kings Vs Titans,Super Kings,2,RuturajGaikwad,out,92,50,4,9,184.00
T205274,Super Kings Vs Titans,Super Kings,3,MoeenAli,out,23,17,4,1,135.29
T205274,Super Kings Vs Titans,Super Kings,4,BenStokes,out,7,6,1,0,116.66
T205274,Super Kings Vs Titans,Super Kings,5,AmbatiRayudu,out,12,12,0,1,100.00
T205274,Super Kings Vs Titans,Super Kings,6,ShivamDube,out,19,18,0,1,105.55
T205274,Super Kings Vs Titans,Super Kings,7,RavindraJadeja,out,1,2,0,0,50.00
T205274,Super Kings Vs Titans,Super Kings,8,MSDhoni,not_out,14,7,1,1,200.00
T205274,Super Kings Vs Titans,Super Kings,9,MitchellSantner,not_out,1,3,0,0,33.33
T205274,Super Kings Vs Titans,Titans,1,WriddhimanSaha,out,25,16,2,2,156.25
T205274,Super Kings Vs Titans,Titans,2,ShubmanGill,out,63,36,6,3,175.00
T205274,Super Kings Vs Titans,Titans,3,SaiSudharsan,out,22,17,3,0,129.41
T205274,Super Kings Vs Titans,Titans,4,HardikPandya,out,8,11,0,0,72.72
T205274,Super Kings Vs Titans,Titans,5,VijayShankar,out,27,21,2,1,128.57
T205274,Super Kings Vs Titans,Titans,6,RahulTewatia,not_out,15,14,1,1,107.14
T205274,Super Kings Vs Titans,Titans,7,RashidKhan,not_out,10,3,1,1,333.33
T207733,Punjab Kings Vs KKR,Punjab Kings,1,PrabhsimranSingh,out,23,12,2,2,191.66
T207733,Punjab Kings Vs KKR,Punjab Kings,2,ShikharDhawan,out,40,29,6,0,137.93
T207733,Punjab Kings Vs KKR,Punjab Kings,3,BhanukaRajapaksa,out,50,32,5,2,156.25
T207733,Punjab Kings Vs KKR,Punjab Kings,4,JiteshSharma,out,21,11,1,2,190.90
T207733,Punjab Kings Vs KKR,Punjab Kings,5,SikandarRaza,out,16,13,1,1,123.07
T207733,Punjab Kings Vs KKR,Punjab Kings,6,SamCurran,not_out,26,17,0,2,152.94
T207733,Punjab Kings Vs KKR,Punjab Kings,7,MShahrukhKhan,not_out,11,7,2,0,157.14
T207733,Punjab Kings Vs KKR,KKR,1,MandeepSingh,out,2,4,0,0,50.00
T207733,Punjab Kings Vs KKR,KKR,2,RahmanullahGurbaz,out,22,16,3,1,137.50
T207733,Punjab Kings Vs KKR,KKR,3,AnukulRoy,out,4,5,1,0,80.00
T207733,Punjab Kings Vs KKR,KKR,4,VenkateshIyer,out,34,28,3,1,121.42
T207733,Punjab Kings Vs KKR,KKR,5,NitishRana,out,24,17,3,1,141.17
T207733,Punjab Kings Vs KKR,KKR,6,RinkuSingh,out,4,4,0,0,100.00
T207733,Punjab Kings Vs KKR,KKR,7,AndreRussell,out,35,19,3,2,184.21
T207733,Punjab Kings Vs KKR,KKR,8,ShardulThakur,not_out,8,3,0,1,266.66
T207733,Punjab Kings Vs KKR,KKR,9,SunilNarine,not_out,7,2,0,1,350.00
T203391,Super Giants Vs Capitals,Super Giants,1,KLRahul,out,8,12,0,1,66.66
T203391,Super Giants Vs Capitals,Super Giants,2,KyleMayers,out,73,38,2,7,192.10
T203391,Super Giants Vs Capitals,Super Giants,3,DeepakHooda,out,17,18,0,0,94.44
T203391,Super Giants Vs Capitals,Super Giants,4,KrunalPandya,not_out,15,13,0,1,115.38
T203391,Super Giants Vs Capitals,Super Giants,5,MarcusStoinis,out,12,10,0,1,120.00
T203391,Super Giants Vs Capitals,Super Giants,6,NicholasPooran,out,36,21,2,3,171.42
T203391,Super Giants Vs Capitals,Super Giants,7,AyushBadoni,out,18,7,1,2,257.14
T203391,Super Giants Vs Capitals,Super Giants,8,KrishnappaGowtham,not_out,6,1,0,1,600.00
T203391,Super Giants Vs Capitals,Capitals,1,PrithviShaw,out,12,9,2,0,133.33
T203391,Super Giants Vs Capitals,Capitals,2,DavidWarner,out,56,48,7,0,116.66
T203391,Super Giants Vs Capitals,Capitals,3,MitchellMarsh,out,0,1,0,0,0.00
T203391,Super Giants Vs Capitals,Capitals,4,SarfarazKhan,out,4,9,1,0,44.44
T203391,Super Giants Vs Capitals,Capitals,5,RileeRossouw,out,30,20,3,1,150.00
T203391,Super Giants Vs Capitals,Capitals,6,RovmanPowell,out,1,3,0,0,33.33
T203391,Super Giants Vs Capitals,Capitals,7,AmanHakimKhan,out,4,5,0,0,80.00
T203391,Super Giants Vs Capitals,Capitals,8,AxarPatel,out,16,11,1,1,145.45
T203391,Super Giants Vs Capitals,Capitals,9,KuldeepYadav,not_out,6,10,0,0,60.00
T203391,Super Giants Vs Capitals,Capitals,10,ChetanSakariya,out,4,4,1,0,100.00
T203391,Super Giants Vs Capitals,Capitals,11,MukeshKumar,not_out,0,1,0,0,0.00
T204662,Royals Vs Sunrisers,Royals,1,YashasviJaiswal,out,54,37,9,0,145.94
T204662,Royals Vs Sunrisers,Royals,2,JosButtler,out,54,22,7,3,245.45
T204662,Royals Vs Sunrisers,Royals,3,SanjuSamson,out,55,32,3,4,171.87
T204662,Royals Vs Sunrisers,Royals,4,DevduttPadikkal,out,2,5,0,0,40.00
T204662,Royals Vs Sunrisers,Royals,5,RiyanParag,out,7,6,1,0,116.66
T204662,Royals Vs Sunrisers,Royals,6,ShimronHetmyer,not_out,22,16,1,1,137.50
T204662,Royals Vs Sunrisers,Royals,7,RavichandranAshwin,not_out,1,2,0,0,50.00
T204662,Royals Vs Sunrisers,Sunrisers,1,AbhishekSharma,out,0,3,0,0,0.00
T204662,Royals Vs Sunrisers,Sunrisers,2,MayankAgarwal,out,27,23,3,0,117.39
T204662,Royals Vs Sunrisers,Sunrisers,3,RahulTripathi,out,0,2,0,0,0.00
T204662,Royals Vs Sunrisers,Sunrisers,4,HarryBrook,out,13,21,1,0,61.90
T204662,Royals Vs Sunrisers,Sunrisers,5,WashingtonSundar,out,1,5,0,0,20.00
T204662,Royals Vs Sunrisers,Sunrisers,6,GlennPhillips,out,8,6,0,1,133.33
T204662,Royals Vs Sunrisers,Sunrisers,7,AbdulSamad,not_out,32,32,2,1,100.00
T204662,Royals Vs Sunrisers,Sunrisers,8,AdilRashid,out,18,13,1,1,138.46
T204662,Royals Vs Sunrisers,Sunrisers,9,BhuvneshwarKumar,out,6,10,0,0,60.00
T204662,Royals Vs Sunrisers,Sunrisers,10,UmranMalik,not_out,19,8,1,2,237.50
T204410,Mumbai Vs RCB,Mumbai,1,RohitSharma,out,1,10,0,0,10.00
T204410,Mumbai Vs RCB,Mumbai,2,IshanKishan,out,10,13,2,0,76.92
T204410,Mumbai Vs RCB,Mumbai,3,CameronGreen,out,5,4,1,0,125.00
T204410,Mumbai Vs RCB,Mumbai,4,SuryakumarYadav,out,15,16,1,0,93.75
T204410,Mumbai Vs RCB,Mumbai,5,TilakVarma,not_out,84,46,9,4,182.60
T204410,Mumbai Vs RCB,Mumbai,6,NehalWadhera,out,21,13,1,2,161.53
T204410,Mumbai Vs RCB,Mumbai,7,TimDavid,out,4,7,0,0,57.14
T204410,Mumbai Vs RCB,Mumbai,8,HrithikShokeen,out,5,3,1,0,166.66
T204410,Mumbai Vs RCB,Mumbai,9,ArshadKhan,not_out,15,9,0,1,166.66
T204410,Mumbai Vs RCB,RCB,1,ViratKohli,not_out,82,49,6,5,167.34
T204410,Mumbai Vs RCB,RCB,2,FafduPlessis,out,73,43,5,6,169.76
T204410,Mumbai Vs RCB,RCB,3,DineshKarthik,out,0,3,0,0,0.00
T204410,Mumbai Vs RCB,RCB,4,GlennMaxwell,not_out,12,3,0,2,400.00
