match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T205274,Super Kings Vs Titans,Titans,MohammedShami,4.0,0,29,2,7.25,13,2,2,0,1
T205274,Super Kings Vs Titans,Titans,HardikPandya,3.0,0,28,0,9.33,6,2,2,0,0
T205274,Super Kings Vs Titans,Titans,JoshLittle,4.0,0,41,1,10.25,10,4,3,0,0
T205274,Super Kings Vs Titans,Titans,RashidKhan,4.0,0,26,2,6.5,10,2,1,0,0
T205274,Super Kings Vs Titans,Titans,AlzarriJoseph,4.0,0,33,2,8.25,8,0,3,0,0
T205274,Super Kings Vs Titans,Titans,YashDayal,1.0,0,14,0,14.0,2,0,2,0,0
T205274,Super Kings Vs Titans,Super Kings,DeepakChahar,4.0,0,29,0,7.25,9,1,2,0,0
T205274,Super Kings Vs Titans,Super Kings,TusharDeshpande,3.2,0,51,1,15.3,5,4,4,1,1
T205274,Super Kings Vs Titans,Super Kings,RajvardhanHangargekar,4.0,0,36,3,9.0,10,4,1,3,1
T205274,Super Kings Vs Titans,Super Kings,MitchellSantner,4.0,0,32,0,8.0,7,5,0,0,0
T205274,Super Kings Vs Titans,Super Kings,RavindraJadeja,4.0,0,28,1,7.0,9,1,1,0,0
T207733,Punjab Kings Vs KKR,KKR,UmeshYadav,4.0,0,27,1,6.75,11,2,1,0,0
T207733,Punjab Kings Vs KKR,KKR,TimSouthee,4.0,0,54,2,13.5,7,6,3,0,0
T207733,Punjab Kings Vs KKR,KKR,SunilNarine,4.0,0,40,1,10.0,8,3,2,1,0
T207733,Punjab Kings Vs KKR,KKR,VarunChakravarthy,4.0,0,26,1,6.5,10,2,1,1,0
T207733,Punjab Kings Vs KKR,KKR,ShardulThakur,4.0,0,43,0,10.75,7,4,2,0,1
T207733,Punjab Kings Vs KKR,Punjab Kings,SamCurran,3.0,0,38,1,12.66,4,3,3,0,0
T207733,Punjab Kings Vs KKR,Punjab Kings,ArshdeepSingh,3.0,0,19,3,6.33,10,2,1,0,0
T207733,Punjab Kings Vs KKR,Punjab Kings,NathanEllis,3.0,0,27,1,9.0,8,2,1,0,2
T207733,Punjab Kings Vs KKR,Punjab Kings,SikandarRaza,3.0,0,25,1,8.33,5,3,0,1,0
T207733,Punjab Kings Vs KKR,Punjab Kings,RishiDhawan,1.0,0,15,0,15.0,2,2,1,0,0
T207733,Punjab Kings Vs KKR,Punjab Kings,RahulChahar,2.0,0,12,1,6.0,5,0,1,0,0
T207733,Punjab Kings Vs KKR,Punjab Kings,HarpreetBrar,1.0,0,7,0,7.0,3,1,0,0,0
T203391,Super Giants Vs Capitals,Capitals,KhaleelAhmed,4.0,0,30,2,7.5,15,3,2,1,0
T203391,Super Giants Vs Capitals,Capitals,MukeshKumar,4.0,0,34,0,8.5,5,0,2,1,0
T203391,Super Giants Vs Capitals,Capitals,ChetanSakariya,4.0,0,53,2,13.25,8,1,6,3,0
T203391,Super Giants Vs Capitals,Capitals,AxarPatel,4.0,0,38,1,9.5,8,1,3,0,0
T203391,Super Giants Vs Capitals,Capitals,KuldeepYadav,4.0,0,35,1,8.75,7,0,3,0,0
T203391,Super Giants Vs Capitals,Super Giants,KyleMayers,1.0,0,7,0,7.0,3,1,0,1,0
T203391,Super Giants Vs Capitals,Super Giants,JaydevUnadkat,3.0,0,39,0,13.0,3,5,0,2,0
T203391,Super Giants Vs Capitals,Super Giants,KrishnappaGowtham,4.0,0,23,0,5.75,9,2,0,1,0
T203391,Super Giants Vs Capitals,Super Giants,AveshKhan,4.0,0,29,2,7.25,12,3,1,0,0
T203391,Super Giants Vs Capitals,Super Giants,MarkWood,4.0,0,14,5,3.5,17,1,0,1,1
T203391,Super Giants Vs Capitals,Super Giants,RaviBishnoi,4.0,0,31,2,7.75,8,3,1,0,0
T204662,Royals Vs Sunrisers,Sunrisers,BhuvneshwarKumar,3.0,0,36,0,12.0,6,4,2,1,0
T204662,Royals Vs Sunrisers,Sunrisers,FazalhaqFarooqi,4.0,0,41,2,10.25,11,7,0,0,0
T204662,Royals Vs Sunrisers,Sunrisers,WashingtonSundar,3.0,0,32,0,10.66,5,1,3,0,0
T204662,Royals Vs Sunrisers,Sunrisers,TNatarajan,3.0,0,23,2,7.66,7,4,0,0,0
T204662,Royals Vs Sunrisers,Sunrisers,AdilRashid,4.0,0,33,0,8.25,6,1,2,0,0
T204662,Royals Vs Sunrisers,Sunrisers,UmranMalik,3.0,0,32,1,10.66,4,4,1,1,0
T204662,Royals Vs Sunrisers,Royals,TrentBoult,4.0,1,21,2,5.25,15,2,1,0,0
T204662,Royals Vs Sunrisers,Royals,KMAsif,3.0,0,15,0,5.0,9,1,0,1,0
T204662,Royals Vs Sunrisers,Royals,JasonHolder,3.0,0,16,1,5.33,10,1,1,0,0
T204662,Royals Vs Sunrisers,Royals,RavichandranAshwin,4.0,0,27,1,6.75,10,1,1,2,0
T204662,Royals Vs Sunrisers,Royals,YuzvendraChahal,4.0,0,17,4,4.25,11,0,0,0,0
T204662,Royals Vs Sunrisers,Royals,NavdeepSaini,2.0,0,34,0,17.0,3,3,2,0,3
T204410,Mumbai Vs RCB,RCB,MohammedSiraj,4.0,0,21,1,5.25,16,2,0,6,0
T204410,Mumbai Vs RCB,RCB,ReeceTopley,2.0,0,14,1,7.0,7,3,0,0,0
T204410,Mumbai Vs RCB,RCB,AkashDeep,3.0,0,29,1,9.66,7,2,2,0,0
T204410,Mumbai Vs RCB,RCB,HarshalPatel,4.0,0,43,1,10.75,6,3,2,1,1
T204410,Mumbai Vs RCB,RCB,KarnSharma,4.0,0,32,2,8.0,7,1,2,1,0
T204410,Mumbai Vs RCB,RCB,MichaelBracewell,2.0,0,16,1,8.0,6,3,0,0,0
T204410,Mumbai Vs RCB,RCB,GlennMaxwell,1.0,0,16,0,16.0,0,1,1,1,0
T204410,Mumbai Vs RCB,Mumbai,JasonBehrendorff,3.0,0,37,0,12.33,6,3,3,0,0
T204410,Mumbai Vs RCB,Mumbai,ArshadKhan,2.2,0,28,1,12.0,7,2,2,4,0
T204410,Mumbai Vs RCB,Mumbai,JofraArcher,4.0,0,33,0,8.25,10,2,2,0,0
T204410,Mumbai Vs RCB,Mumbai,PiyushChawla,4.0,0,26,0,6.5,11,2,1,0,0
T204410,Mumbai Vs RCB,Mumbai,CameronGreen,2.0,0,30,1,15.0,4,2,3,0,0
T204410,Mumbai Vs RCB,Mumbai,HrithikShokeen,1.0,0,17,0,17.0,0,0,2,0,0
T207290,Super Kings Vs Super Giants,Super Giants,KyleMayers,2.0,0,16,0,8.0,1,1,0,1,0
T207290,Super Kings Vs Super Giants,Super Giants,AveshKhan,3.0,0,39,1,13.0,4,6,0,1,0
T207290,Super Kings Vs Super Giants,Super Giants,KrunalPandya,2.0,0,21,0,10.5,4,1,2,0,0
T207290,Super Kings Vs Super Giants,Super Giants,KrishnappaGowtham,1.0,0,20,0,20.0,2,0,3,0,0
T207290,Super Kings Vs Super Giants,Super Giants,MarkWood,4.0,0,49,3,12.25,9,3,5,0,0
T207290,Super Kings Vs Super Giants,Super Giants,YashThakur,4.0,0,36,0,9.0,4,3,1,0,1
