match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,matchDate
Super Kings Vs Titans,Titans,MohammedShami,4,0,29,2,7.25,13,2,2,0,1,"Mar 31, 2023"
Super Kings Vs Titans,Titans,HardikPandya,3,0,28,0,9.33,6,2,2,0,0,"Mar 31, 2023"
Super Kings Vs Titans,Titans,JoshLittle,4,0,41,1,10.25,10,4,3,0,0,"Mar 31, 2023"
Super Kings Vs Titans,Titans,RashidKhan,4,0,26,2,6.50,10,2,1,0,0,"Mar 31, 2023"
Super Kings Vs Titans,Titans,AlzarriJoseph,4,0,33,2,8.25,8,0,3,0,0,"Mar 31, 2023"
Super Kings Vs Titans,Titans,YashDayal,1,0,14,0,14.00,2,0,2,0,0,"Mar 31, 2023"
Super Kings Vs Titans,Super Kings,DeepakChahar,4,0,29,0,7.25,9,1,2,0,0,"Mar 31, 2023"
Super Kings Vs Titans,Super Kings,TusharDeshpande,3.2,0,51,1,15.30,5,4,4,1,1,"Mar 31, 2023"
Super Kings Vs Titans,Super Kings,RajvardhanHangargekar,4,0,36,3,9.00,10,4,1,3,1,"Mar 31, 2023"
Super Kings Vs Titans,Super Kings,MitchellSantner,4,0,32,0,8.00,7,5,0,0,0,"Mar 31, 2023"
Super Kings Vs Titans,Super Kings,RavindraJadeja,4,0,28,1,7.00,9,1,1,0,0,"Mar 31, 2023"
Punjab Kings Vs KKR,KKR,UmeshYadav,4,0,27,1,6.75,11,2,1,0,0,"Apr 1, 2023"
Punjab Kings Vs KKR,KKR,TimSouthee,4,0,54,2,13.50,7,6,3,0,0,"Apr 1, 2023"
Punjab Kings Vs KKR,KKR,SunilNarine,4,0,40,1,10.00,8,3,2,1,0,"Apr 1, 2023"
Punjab Kings Vs KKR,KKR,VarunChakravarthy,4,0,26,1,6.50,10,2,1,1,0,"Apr 1, 2023"
Punjab Kings Vs KKR,KKR,ShardulThakur,4,0,43,0,10.75,7,4,2,0,1,"Apr 1, 2023"
Punjab Kings Vs KKR,Punjab Kings,SamCurran,3,0,38,1,12.66,4,3,3,0,0,"Apr 1, 2023"
Punjab Kings Vs KKR,Punjab Kings,ArshdeepSingh,3,0,19,3,6.33,10,2,1,0,0,"Apr 1, 2023"
Punjab Kings Vs KKR,Punjab Kings,NathanEllis,3,0,27,1,9.00,8,2,1,0,2,"Apr 1, 2023"
Punjab Kings Vs KKR,Punjab Kings,SikandarRaza,3,0,25,1,8.33,5,3,0,1,0,"Apr 1, 2023"
Punjab Kings Vs KKR,Punjab Kings,RishiDhawan,1,0,15,0,15.00,2,2,1,0,0,"Apr 1, 2023"
Punjab Kings Vs KKR,Punjab Kings,RahulChahar,2,0,12,1,6.00,5,0,1,0,0,"Apr 1, 2023"
Punjab Kings Vs KKR,Punjab Kings,HarpreetBrar,1,0,7,0,7.00,3,1,0,0,0,"Apr 1, 2023"
Super Giants Vs Capitals,Capitals,KhaleelAhmed,4,0,30,2,7.50,15,3,2,1,0,"Apr 1, 2023"
Super Giants Vs Capitals,Capitals,MukeshKumar,4,0,34,0,8.50,5,0,2,1,0,"Apr 1, 2023"
Super Giants Vs Capitals,Capitals,ChetanSakariya,4,0,53,2,13.25,8,1,6,3,0,"Apr 1, 2023"
Super Giants Vs Capitals,Capitals,AxarPatel,4,0,38,1,9.50,8,1,3,0,0,"Apr 1, 2023"
Super Giants Vs Capitals,Capitals,KuldeepYadav,4,0,35,1,8.75,7,0,3,0,0,"Apr 1, 2023"
Super Giants Vs Capitals,Super Giants,KyleMayers,1,0,7,0,7.00,3,1,0,1,0,"Apr 1, 2023"
Super Giants Vs Capitals,Super Giants,JaydevUnadkat,3,0,39,0,13.00,3,5,0,2,0,"Apr 1, 2023"
Super Giants Vs Capitals,Super Giants,KrishnappaGowtham,4,0,23,0,5.75,9,2,0,1,0,"Apr 1, 2023"
Super Giants Vs Capitals,Super Giants,AveshKhan,4,0,29,2,7.25,12,3,1,0,0,"Apr 1, 2023"
Super Giants Vs Capitals,Super Giants,MarkWood,4,0,14,5,3.50,17,1,0,1,1,"Apr 1, 2023"
Super Giants Vs Capitals,Super Giants,RaviBishnoi,4,0,31,2,7.75,8,3,1,0,0,"Apr 1, 2023"
Royals Vs Sunrisers,Sunrisers,BhuvneshwarKumar,3,0,36,0,12.00,6,4,2,1,0,"Apr 2, 2023"
Royals Vs Sunrisers,Sunrisers,FazalhaqFarooqi,4,0,41,2,10.25,11,7,0,0,0,"Apr 2, 2023"
Royals Vs Sunrisers,Sunrisers,WashingtonSundar,3,0,32,0,10.66,5,1,3,0,0,"Apr 2, 2023"
Royals Vs Sunrisers,Sunrisers,TNatarajan,3,0,23,2,7.66,7,4,0,0,0,"Apr 2, 2023"
Royals Vs Sunrisers,Sunrisers,AdilRashid,4,0,33,0,8.25,6,1,2,0,0,"Apr 2, 2023"
Royals Vs Sunrisers,Sunrisers,UmranMalik,3,0,32,1,10.66,4,4,1,1,0,"Apr 2, 2023"
